Date/Time,Word Count,de,en
2021.07.11-13.17.00,113,0,113
2021.07.11-13.23.46,113,109,113
2021.07.11-13.36.48,135,109,135
2021.07.11-13.38.07,135,131,135
2021.07.14-19.19.34,149,131,149
2021.07.14-19.22.28,151,131,151
2021.07.14-19.24.20,151,147,151
2021.07.14-20.00.58,156,131,156
2021.07.14-20.04.07,156,149,156
2021.07.17-10.06.02,158,143,158
2021.07.17-10.07.14,158,152,158
2021.07.17-10.08.29,156,152,156
2021.07.17-10.30.29,155,152,155
2021.07.17-11.30.21,156,152,156
2021.07.17-11.32.29,156,156,156
2021.07.18-21.54.02,159,155,159
2021.07.18-21.54.42,159,159,159
2021.07.18-23.15.50,165,137,165
2021.07.18-23.17.48,165,165,165
